Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01832,22121.0,38.5,57833.0,29014.0,2412.0,10.9036661995389
01833,8295.0,42.4,107775.0,43297.0,191.0,2.3025919228450875
01834,6675.0,46.1,97463.0,40222.0,146.0,2.1872659176029963
01835,13527.0,37.1,72228.0,31429.0,1153.0,8.523693354032675
01840,4547.0,36.8,18261.0,14758.0,1798.0,39.54255553111942
01841,47676.0,29.6,31214.0,15117.0,14334.0,30.0654417316889
01843,24597.0,32.6,42891.0,21024.0,6018.0,24.46639834126113
01844,47690.0,39.9,67556.0,30520.0,4022.0,8.43363388551059
01845,28677.0,41.0,96002.0,46788.0,1499.0,5.227185549394986
01850,15496.0,32.0,51538.0,22503.0,3095.0,19.972896231285493
01851,29791.0,33.5,51630.0,22714.0,4903.0,16.457990668322648
01852,33106.0,35.6,48951.0,26878.0,5632.0,17.012021989971608
01854,29073.0,29.6,42947.0,19646.0,6040.0,20.7752897877756
01860,6440.0,43.5,79423.0,36605.0,184.0,2.857142857142857
01862,10992.0,39.0,85497.0,30074.0,607.0,5.522197962154294
01863,9526.0,40.5,81160.0,37573.0,714.0,7.495276086500105
01864,15076.0,42.4,110852.0,45031.0,721.0,4.782435659326081
01867,24524.0,41.8,105524.0,47036.0,417.0,1.7003751427173381
01876,28778.0,43.4,90897.0,39980.0,890.0,3.0926402112724998
01879,11675.0,42.1,90987.0,40920.0,691.0,5.918629550321199
01880,25116.0,42.1,84556.0,40379.0,975.0,3.8819875776397517
01886,22458.0,42.4,124464.0,49341.0,411.0,1.8300828212663638
01887,22656.0,41.7,99508.0,37424.0,530.0,2.3393361581920904
01890,21621.0,42.5,131000.0,64385.0,719.0,3.3254706072799594
01901,2023.0,42.8,23467.0,20625.0,569.0,28.126544735541277
01902,44827.0,32.0,37275.0,20391.0,10625.0,23.70223302920115
01904,18803.0,40.6,80903.0,33409.0,1040.0,5.531032282082647
01905,25090.0,32.4,42490.0,19934.0,6680.0,26.624153049023516
01906,27051.0,44.9,76339.0,34350.0,1341.0,4.957302872352224
01907,14086.0,44.0,92399.0,48336.0,660.0,4.685503336646316
01908,3432.0,49.7,66964.0,45464.0,99.0,2.8846153846153846
01913,16429.0,41.3,78486.0,38659.0,892.0,5.429423580254428
01915,40026.0,39.8,70563.0,37554.0,3185.0,7.957327736970969
01921,8040.0,45.6,125833.0,58734.0,70.0,0.8706467661691543
01922,3025.0,44.4,109301.0,40983.0,66.0,2.1818181818181817
01923,26810.0,43.0,79478.0,38281.0,1377.0,5.136143230138008
01929,3546.0,45.4,74211.0,42259.0,124.0,3.496897913141568
01930,29043.0,47.1,61449.0,35928.0,2931.0,10.09193265158558
01937,89.0,72.1,-666666666.0,29602.0,44.0,49.438202247191015
01938,13354.0,48.1,77087.0,43021.0,674.0,5.047176875842444
01940,12299.0,44.4,106239.0,46227.0,260.0,2.1139930075615903
01944,5185.0,48.3,115650.0,70075.0,301.0,5.8052073288331725
01945,19958.0,44.7,98399.0,58082.0,1074.0,5.381300731536226
01949,9131.0,41.1,104245.0,39115.0,283.0,3.0993319461176214
01950,17569.0,46.3,78638.0,46124.0,1446.0,8.230405828447834
01951,3707.0,49.2,81106.0,42632.0,266.0,7.175613703803615
01952,8396.0,46.2,72131.0,35656.0,668.0,7.956169604573606
01960,51319.0,44.3,64430.0,34255.0,3181.0,6.19848399228356
01966,7040.0,52.1,66402.0,41762.0,307.0,4.360795454545454
01969,5914.0,45.1,83237.0,38324.0,589.0,9.959418329387892
01970,41747.0,36.9,55698.0,31407.0,6229.0,14.920832634680336
01982,7995.0,40.0,105865.0,44500.0,188.0,2.351469668542839
01983,6211.0,45.4,111696.0,56488.0,374.0,6.021574625664145
01984,4964.0,24.9,127606.0,46255.0,134.0,2.6994359387590654
01985,4305.0,43.0,111652.0,53144.0,259.0,6.016260162601626
02019,16438.0,40.8,80179.0,36165.0,379.0,2.3056332887212556
02021,21781.0,42.8,89900.0,46086.0,1265.0,5.807814149947202
02025,7935.0,42.0,117829.0,61267.0,350.0,4.410838059231254
02026,24906.0,43.0,84704.0,43063.0,1029.0,4.1315345699831365
02030,5677.0,44.3,187829.0,89476.0,18.0,0.31706887440549586
02032,3884.0,42.9,77955.0,39531.0,128.0,3.29557157569516
02035,16990.0,41.2,91601.0,42801.0,683.0,4.0200117716303705
02038,32064.0,37.8,99194.0,41946.0,1330.0,4.147954091816367
02043,22330.0,43.8,106854.0,60770.0,586.0,2.624272279444693
