,Zipcode,Address,Median Age,Household Income,Per Capita Income,Lat,Lng,Bank Count
0,49908,"Baraga, MI 49908",46,27030,15371,46.8359,-88.5070,5
1,47443,"Lyons, IN 47443",33,83212,91548,38.9565,-87.0931,8
2,55392,"Navarre, MN 55392",38,182718,56648,44.9434,-93.6077,81
3,74469,"Warner, OK 74469",43,183752,82932,35.5007,-95.3006,73
4,70791,"Zachary, LA 70791",43,120257,69028,30.6455,-91.1385,78
5,76885,"Valley Spring, TX 76885",34,29712,11057,30.8310,-98.8289,5
6,68874,"Sargent, NE 68874",43,182394,50288,41.6693,-99.3853,13
7,63540,"Gibbs, MO 63540",37,86680,63131,40.0808,-92.4304,3
8,82515,"Hudson, WY 82515",32,101908,78545,42.8445,-108.5016,33
9,12125,"New Lebanon, NY 12125",45,187359,93759,42.4697,-73.4105,74
10,70503,"Lafayette, LA 70503",35,26013,15392,30.1717,-92.0599,2
11,37206,"Nashville, TN 37206",37,95002,73768,36.1801,-86.7293,40
12,78673,"Walburg, TX 78673",36,100233,52553,30.7364,-97.5801,66
13,33413,"West Palm Beach, FL 33413",41,164009,60335,26.6626,-80.1515,28
14,20453,"Washington, DC 20453",32,155472,86768,38.8951,-77.0369,33
15,02358,"North Pembroke, MA 02358",45,37549,16499,42.1024,-70.7739,7
16,50232,"Reasnor, IA 50232",44,159158,57832,41.5557,-92.9711,93
17,78156,"Seguin, TX 78156",38,177698,85531,29.5687,-97.9644,3
18,24869,"North Spring, WV 24869",36,151813,69405,37.5264,-81.7922,13
19,79405,"Lubbock, TX 79405",35,148552,73399,33.57,-101.84,99
20,28664,"Plumtree, NC 28664",42,37200,19859,36.0267,-82.0082,9
21,78056,"Mico, TX 78056",33,164003,67596,29.5419,-98.9192,74
22,62346,"La Prairie, IL 62346",38,211236,80348,40.1642,-90.9704,8
23,13654,"Heuvelton, NY 13654",42,125631,76669,44.5907,-75.4475,93
24,32563,"Gulf Breeze, FL 32563",40,207642,97811,30.4004,-87.0524,7
25,67004,"Argonia, KS 67004",41,47423,15398,37.2996,-97.6948,2
26,32041,"Yulee, FL 32041",39,154261,44264,30.6324,-81.6068,81
27,95226,"Campo Seco, CA 95226",37,116424,79742,38.2366,-120.8618,70
