Year,Crude Oil,American Airlines,Air France,All Nippon Airways,Qantas Airways,British Airways,Ethiopian Airlines,Emirates Airlines,LATAM Airlines,All Airlines
2022,94.53,11014000000,767000000,804201000,-610000000,76860000,6100000000,-1053000000,1339000000,-6900000000
2021,68.17,2046000000,-3895000000,1159749900,-1530000000,-2076480000,937000000,-5454000000,-4647000000,-42000000000
2020,39.68,-5186000000,-8085000000,3113585800,-1660000000,-4397340000,260000000,270000000,-4546000000,-1.377E+11
2019,56.99,13114000000,325000000,407240200,1050000000,1397340000,122940000,234900000,190000000,26400000000
2018,65.23,10051000000,483000000,1105627300,1190000000,2635860000,160200000,729000000,310000000,27300000000
2017,50.8,13032000000,-310000000,1101857200,1080000000,1823220000,123660000,324000000,155000000,37600000000
2016,43.29,13251000000,876000000,975111300,1270000000,1694700000,96858000,1917000000,69000000,34200000000
2015,48.66,14387000000,131000000,914300100,870000000,1228500000,110322000,1215000000,-219000000,36000000000
2014,93.17,12006000000,-263000000,613224700,-3480000000,884520000,63558000,864000000,-260000000,13800000000
2013,97.98,6938000000,-1973000000,442286200,280000000,354260000,56646000,594000000,-281000000,10700000000
2012,94.05,5111000000,-1442000000,695643900,8190000,105840000,36972000,405000000,24000000,9200000000
